deckname,numlands,cmc_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13
temur_ascendency,24,2.6944444444444446,0,8.0,6.0,13.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur_ascendent_company,24,2.5833333333333335,0,4.0,12.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur_countertempo,24,3.0833333333333335,0,1.0,8.0,18.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timewalker_bant,25,4.085714285714285,0,3.0,8.0,4.0,7.0,5.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
timewalker_dtk,26,4.470588235294118,0,0.0,6.0,11.0,0.0,6.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
ur_counterburn,26,3.676470588235294,0,0.0,16.0,6.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
warrior_tempo,24,2.888888888888889,0,4.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU_Harness,16,2.6222222222222222,0,8.0,16.0,12.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R_Sligh,20,1.8,0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_Sligh2,20,1.7,0,16.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Superfriends,26,4.0,0,4.0,3.0,6.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
U-BIAJ,24,3.5,0,4.0,8.0,9.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UB_Zombies,25,2.6,0,8.0,8.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
